문제,힌트,답
마블 시네마틱 유니버스(MCU)에서 아이언맨을 연기한 배우는 누구인가요?,영화 '셜록 홈즈'에도 출연했어요.,로버트 다우니 주니어
비틀즈의 멤버 중 Imagine을 부른 사람은 누구인가요?,평화 운동가로도 유명한 인물이에요.,존 레논
겨울왕국의 엘사 목소리를 맡은 사람은 누구인가요?,Let It Go를 부른 가수입니다.,이디나 멘젤
스타워즈 시리즈에서 루크 스카이워커의 아버지 이름은?,본명은 아나킨 스카이워커입니다.,다스 베이더
세계적으로 유명한 팝가수 테일러 스위프트의 팬클럽 이름은?,가수 이름에서 따온 이름이에요.,스위프트(스위피즈)
타이타닉의 여주인공 이름은 무엇인가요?,그녀의 남자친구 이름은 잭입니다.,로즈
왕좌의 게임에서 철왕좌에 앉아있던 마지막 인물은 누구인가요?,까마귀의 왕이라고도 불립니다.,브란 스타크
해리 포터 시리즈에서 해리 포터의 친구 중 하나인 빨간 머리 소년의 이름은?,위즐리 가문 출신입니다.,론 위즐리
마블의 슈퍼히어로 중 블랙 팬서의 본명은 무엇인가요?,와칸다의 왕입니다.,티찰라
왕의 남자에서 이준기가 연기한 인물의 이름은 무엇인가요?,광대였습니다.,공길
어벤져스 엔드게임에서 타노스를 물리치기 위해 희생한 슈퍼히어로는 누구인가요?,I am Iron Man이라는 대사가 유명합니다.,아이언맨
해리포터에서 슬리데린의 기숙사장은 누구인가요?,그는 이중 스파이였습니다.,세베루스 스네이프
비틀즈의 첫 번째 앨범은 무엇인가요?,1963년에 발매된 앨범입니다.,Please Please Me
기생충 영화의 감독은 누구인가요?,2020년 아카데미 감독상을 수상했습니다.,봉준호
디즈니 애니메이션 인어공주에서 주인공의 이름은 무엇인가요?,그녀는 바다의 공주입니다.,에리얼
라푼젤에서 라푼젤의 긴 머리카락은 무슨 능력을 가졌나요?,노래를 부르면 머리카락이 빛납니다.,치유 능력
어벤져스 시리즈에서 토르의 형제 이름은?,장난의 신으로 불립니다.,로키
이터널스에서 안젤리나 졸리가 연기한 캐릭터의 이름은?,전사 역할입니다.,테나
BTS의 리더는 누구인가요?,예명은 '랩몬스터'에서 유래되었습니다.,RM
오징어 게임에서 참가자 번호 456번의 이름은?,최후까지 살아남은 참가자입니다.,성기훈
친절한 금자씨에서 금자씨의 딸 이름은?,금자씨가 해외 입양을 보냈던 딸입니다.,제니
스타워즈 시리즈에서 한 솔로의 파트너인 털 많은 생명체는?,우키 종족입니다.,츄바카
프렌즈 시트콤에서 첫 회에서 결혼식 도망친 캐릭터는?,커피숍에서 친구들을 만났습니다.,레이첼
한국 영화 부산행에서 열차가 향하던 목적지는?,좀비를 피해 도망갔던 도시입니다.,부산
미녀와 야수에서 야수의 본명은?,마법에 걸린 왕자입니다.,애덤
알라딘에서 자스민 공주의 애완동물 이름은?,호랑이입니다.,라자
DC 코믹스의 배트맨의 본명은?,고담 시를 지키는 영웅입니다.,브루스 웨인
빅뱅의 리더는 누구인가요?,이니셜은 'GD'입니다.,지드래곤
디즈니 애니메이션 모아나에서 마우이의 목걸이에는 어떤 동물이 있나요?,그는 변신 능력을 가졌습니다.,상어
터미네이터 시리즈에서 I'll be back이라는 유명한 대사를 한 캐릭터는?,아놀드 슈왈제네거가 연기했습니다.,터미네이터
토이스토리에서 보안관 인형의 이름은?,카우보이 모자를 쓰고 있습니다.,우디
노트북 영화의 원작 소설을 쓴 작가는 누구인가요?,로맨스 소설가입니다.,니콜라스 스파크스
마블의 캡틴 마블의 본명은?,공군 파일럿 출신입니다.,캐롤 댄버스
타짜에서 주인공 고니를 연기한 배우는 누구인가요?,도박에 천재적인 소질을 가진 역할을 했습니다.,조승우
센과 치히로의 행방불명에서 치히로의 부모님은 무엇으로 변했나요?,음식 때문에 변했습니다.,돼지
셜록에서 셜록 홈즈의 형제 이름은?,영국 정부에서 일합니다.,마이크로프트
매트릭스 시리즈에서 주인공의 이름은?,선택받은 자입니다.,네오
겨울왕국 2에서 엘사를 부르는 목소리의 주인은?,빙하의 목소리입니다.,아토할란
파이브 나이트 앳 프레디즈 게임에서 등장하는 곰의 이름은?,애니메트로닉입니다.,프레디
브레이킹 배드에서 주인공의 마약 별명은?,독일 물리학자의 이름을 사용했습니다.,하이젠베르크
슈퍼맨의 고향 행성 이름은?,붕괴된 행성입니다.,크립톤
스파이더맨의 본명은?,사진 기자로 일합니다.,피터 파커
해리포터에서 마법 지팡이를 만드는 장인의 이름은?,다이애건 앨리에서 가게를 운영합니다.,올리밴더
방탄소년단의 노래 DNA가 수록된 앨범 이름은?,2017년에 발매된 앨범입니다.,Love Yourself: Her
셜록 홈즈에서 셜록의 친구이자 조수인 사람은 누구인가요?,의사입니다.,존 왓슨
닥터 스트레인지에서 스트레인지를 가르친 사람의 이름은?,수백 년을 살아온 존재입니다.,에이션트 원
라라랜드의 여주인공 이름은?,배우가 되고 싶어하는 인물입니다.,미아
아이언맨의 인공지능 이름은?,후에 비전으로 변신합니다.,자비스
슈렉에서 슈렉의 파트너인 나귀의 이름은?,유머감각이 넘치는 캐릭터입니다.,동키
지브리 애니메이션 이웃집 토토로에서 토토로가 사는 곳은?,큰 나무 아래에 살고 있습니다.,숲
