문제,힌트,답
세계에서 가장 큰 사막은 무엇인가요?,아프리카에 위치해 있습니다.,사하라 사막
세계에서 가장 긴 강은 무엇인가요?,아프리카를 흐르는 강입니다.,나일 강
세계에서 가장 높은 산은 무엇인가요?,히말라야 산맥에 위치해 있습니다.,에베레스트 산
세계에서 가장 깊은 호수는?,러시아에 위치한 호수입니다.,바이칼 호수
남아메리카의 가장 큰 나라 이름은?,축구와 아마존으로 유명합니다.,브라질
세계에서 면적이 가장 큰 나라는?,유럽과 아시아에 걸쳐 있는 나라입니다.,러시아
세계에서 인구가 가장 많은 나라는?,동아시아에 위치한 나라입니다.,중국
북아메리카 대륙에 위치한 세계에서 두 번째로 큰 나라는?,북쪽에 위치한 넓은 나라입니다.,캐나다
지구의 적도를 지나는 나라 중 하나는?,남미에 위치하고 커피로 유명합니다.,에콰도르
세계에서 가장 작은 국가는?,바티칸 시국입니다.,바티칸
호주의 수도는 무엇인가요?,시드니가 아닙니다.,캔버라
세계에서 가장 큰 섬은?,북극에 가까운 섬입니다.,그린란드
세계에서 가장 많은 나라와 국경을 공유하는 나라는?,유럽과 아시아에 걸쳐 있습니다.,러시아
대한민국의 수도는?,서울입니다.,서울
유럽 대륙에서 가장 높은 산은?,러시아와 조지아 국경에 위치합니다.,엘브루스 산
아프리카에서 가장 높은 산은?,탄자니아에 위치해 있습니다.,킬리만자로
세계에서 가장 긴 해안선을 가진 나라는?,북아메리카 대륙에 위치합니다.,캐나다
세계에서 가장 높은 폭포는?,베네수엘라에 위치해 있습니다.,앤젤 폭포
지중해에 접해 있는 아프리카 국가 중 하나는?,이집트 옆에 있습니다.,리비아
세계에서 가장 많은 섬으로 이루어진 나라는?,동남아시아에 위치한 나라입니다.,인도네시아
알프스 산맥이 위치한 대륙은?,유럽에 위치해 있습니다.,유럽
세계에서 가장 큰 열대 우림은?,남아메리카에 위치한 우림입니다.,아마존 열대 우림
세계에서 면적이 가장 작은 대륙은?,오세아니아 대륙입니다.,오세아니아
세계에서 가장 많은 언어가 사용되는 나라는?,아시아의 큰 나라입니다.,인도
아이슬란드의 수도는 무엇인가요?,북유럽에 위치한 나라입니다.,레이캬비크
중동에서 가장 넓은 국토를 가진 나라는?,석유가 많은 국가입니다.,사우디아라비아
에베레스트 산이 위치한 두 나라는?,네팔과 중국입니다.,네팔과 중국
지구상에서 가장 낮은 지점은?,요르단과 이스라엘 사이에 위치합니다.,사해
대한민국에서 가장 큰 섬은?,제주입니다.,제주도
대서양과 태평양을 연결하는 인공 운하는?,중미에 위치해 있습니다.,파나마 운하
세계에서 가장 큰 바다는?,태평양입니다.,태평양
알프스 산맥이 포함된 주요 국가는?,스위스가 포함되어 있습니다.,스위스
사막으로 덮인 나라 중 가장 큰 나라는?,사하라 사막의 대부분을 차지합니다.,알제리
유럽 연합의 본부가 위치한 도시는?,벨기에에 위치해 있습니다.,브뤼셀
세계에서 인구 밀도가 가장 높은 나라는?,남아시아에 위치한 섬나라입니다.,방글라데시
아프리카 대륙의 가장 서쪽에 위치한 나라는?,다카르가 수도입니다.,세네갈
남극 대륙에서 발견된 가장 큰 빙하는?,로스 빙하입니다.,로스 빙하
영국과 프랑스를 연결하는 해저 터널 이름은?,유로터널로 불립니다.,채널 터널
세계에서 가장 높은 활화산은?,칠레와 아르헨티나 경계에 있습니다.,오호스 델 살라도
나일 강의 주요 지류 두 개는?,청나일강과 백나일강입니다.,청나일강과 백나일강
동아프리카에 위치한 세계에서 두 번째로 큰 호수는?,빅토리아 호수입니다.,빅토리아 호수
중국의 수도는?,베이징입니다.,베이징
남미 대륙에서 가장 큰 호수는?,베네수엘라와 콜롬비아 사이에 있습니다.,마라카이보 호수
인도의 주요 강 중 하나로 힌두교에서 신성시되는 강은?,갠지스 강입니다.,갠지스 강
미국의 최대 도시 이름은?,뉴욕입니다.,뉴욕
뉴질랜드의 두 주요 섬 이름은?,북섬과 남섬입니다.,북섬과 남섬
세계에서 가장 큰 내륙 국가는?,아시아에 위치한 국가입니다.,카자흐스탄
사막에서 생존하는 선인장 종류로 유명한 것은?,사구아로입니다.,사구아로
세계에서 가장 큰 동굴은?,베트남에 위치해 있습니다.,손둥 동굴
