문제,힌트,답
로마 제국을 멸망시킨 민족은 누구인가요?,유럽의 게르만족 중 하나입니다.,고트족
잔다르크는 어느 나라의 영웅인가요?,유럽의 대표적인 혁명적 국가입니다.,프랑스
이순신 장군의 대표적인 해전 이름은 무엇인가요?,거북선이 활약한 해전입니다.,한산도 대첩
피라미드를 건설한 고대 문명은 어디인가요?,나일강 주변에서 번영했던 문명입니다.,고대 이집트
인류 역사상 가장 긴 제국을 유지했던 나라는 어디인가요?,유럽의 강력한 왕국 중 하나입니다.,로마 제국
콜럼버스가 신대륙을 발견했을 때 탐험한 나라는?,이베리아 반도의 한 나라입니다.,스페인
중국에서 종이와 나침반을 발명한 왕조는?,서기 200년경에 번영한 왕조입니다.,한나라
인도의 타지마할을 건설한 왕조는 무엇인가요?,중세 인도에서 번성했던 무슬림 왕조입니다.,무굴 제국
고대 그리스의 철학자 중 '국가론'을 쓴 사람은 누구인가요?,플라톤의 제자입니다.,플라톤
중세 시대 유럽에서 기사와 봉건제도를 운영했던 사회 시스템은 무엇인가요?,주로 농노와 영주로 구성된 시스템입니다.,봉건제도
한니발 장군이 코끼리를 이끌고 알프스를 넘은 전쟁은?,로마와 카르타고 사이에 벌어진 전쟁입니다.,포에니 전쟁
중국의 최초의 황제는 누구인가요?,만리장성을 쌓은 인물입니다.,진시황
영국에서 산업혁명이 시작된 계기는 무엇이었나요?,주로 면화와 관련된 기계 발명입니다.,방적기
노르망디 상륙작전은 어떤 전쟁의 일부였나요?,1940년대에 발생한 전 세계적인 전쟁입니다.,제2차 세계대전
고대 그리스에서 열렸던 최초의 올림픽은 어느 도시에서 열렸나요?,올림픽의 기원으로 알려진 도시입니다.,올림피아
프랑스 대혁명 당시 단두대에서 처형된 왕은 누구인가요?,루이 왕조의 마지막 왕입니다.,루이 16세
세계 최초의 인쇄된 성경을 만든 사람은 누구인가요?,독일 출신의 발명가입니다.,구텐베르크
미국의 독립 전쟁에서 미국을 지원한 유럽의 나라는?,미국 혁명의 지원으로 유명한 나라입니다.,프랑스
중세 유럽의 흑사병이 발생한 원인은?,쥐와 벼룩을 통해 전파된 질병입니다.,페스트
아프리카의 노예 무역의 주요 출발지는 어디였나요?,대서양 연안의 주요 국가입니다.,서아프리카
몽골 제국의 창시자는 누구인가요?,칭호로 '대왕'을 가졌던 인물입니다.,칭기즈 칸
나폴레옹이 폐위된 후 유배된 섬의 이름은?,대서양 남부에 위치한 섬입니다.,세인트 헬레나
미국 남북전쟁에서 북부의 주요 목표는 무엇이었나요?,노예 해방과 관련된 문제입니다.,노예 해방
대항해 시대에 인도를 찾기 위해 아프리카를 돌아간 탐험가는 누구인가요?,포르투갈 출신의 탐험가입니다.,바스코 다 가마
마야 문명의 수도는 어디였나요?,현재의 과테말라 지역에 위치한 도시입니다.,티칼
인류 최초의 문명은 어디서 시작되었나요?,티그리스와 유프라테스 강 사이에 위치합니다.,메소포타미아
스페인과 포르투갈 간의 신대륙 영토 분할 협정은 무엇인가요?,교황이 중재한 협정입니다.,토르데시야스 조약
황제의 정원이었던 중국의 유명한 궁전은?,베이징에 위치해 있습니다.,자금성
크리미아 전쟁에서 활약한 간호사의 이름은?,현대 간호학의 창시자로 불립니다.,플로렌스 나이팅게일
고대 로마의 경기장으로 검투사 경기가 열렸던 곳은?,이탈리아 로마에 위치한 거대한 원형 경기장입니다.,콜로세움
중국의 문화 대혁명을 주도한 인물은 누구인가요?,중국 공산당의 창시자 중 한 명입니다.,마오쩌둥
러시아의 마지막 황제는 누구인가요?,러시아 혁명으로 폐위된 인물입니다.,니콜라이 2세
영국의 식민지였던 나라 중 최초로 독립을 쟁취한 나라는?,북아메리카 대륙의 주요 국가입니다.,미국
제1차 십자군 전쟁의 주요 목적지는 어디였나요?,성지 회복을 목표로 했습니다.,예루살렘
히틀러가 이끄는 독일이 점령하지 못한 유럽의 섬나라는?,1940년대 중반에 공중전에서 승리한 나라입니다.,영국
이집트의 클레오파트라가 사랑에 빠진 로마의 장군은?,그는 로마의 삼두정치 중 한 명이었습니다.,마르쿠스 안토니우스
고대 로마의 첫 번째 황제는 누구인가요?,공화정 이후 로마의 첫 황제입니다.,아우구스투스
제1차 세계대전 중 양쪽 전선에서 싸운 '서부전선'의 주 무대는?,유럽 대륙의 서쪽에 위치합니다.,프랑스
