문제,힌트,답
유엔 기후 변화 협약의 최신 회의 이름은 무엇인가요?,주로 'COP'로 시작하는 약어입니다.,COP26
코로나19 백신을 최초로 승인한 제약회사는?,미국의 대표적인 바이오테크 기업입니다.,화이자
일론 머스크가 설립한 민간 우주 탐사 기업은?,로켓 발사와 관련된 기업입니다.,스페이스X
현재 미국 대통령의 이름은?,2021년에 취임했습니다.,조 바이든
영국이 EU에서 공식적으로 탈퇴한 사건을 무엇이라고 부르나요?,탈퇴와 관련된 단어입니다.,브렉시트
2022년 FIFA 월드컵이 개최된 국가는 어디인가요?,중동의 작은 국가입니다.,카타르
세계보건기구(WHO)의 본부가 위치한 도시는?,스위스의 도시입니다.,제네바
미국의 대법원에서 '낙태권'에 대한 판결이 변경된 해는?,2022년에 큰 변화가 있었습니다.,2022년
"중국의 국가 주석을 지낸 인물로, 2012년 이후 현재까지 집권하고 있는 인물은?",중국의 현 지도자입니다.,시진핑
전 세계적으로 탄소 배출 제로 목표 연도는 언제인가요?,많은 국가들이 목표로 삼고 있는 연도입니다.,2050년
러시아가 2022년에 군사적으로 침공한 국가는 어디인가요?,유럽 동부에 위치한 나라입니다.,우크라이나
미국에서 가장 유명한 전기차 제조사는?,일론 머스크가 CEO로 있는 기업입니다.,테슬라
유럽연합(EU)의 공용 통화는?,유럽 여러 나라에서 사용하는 통화입니다.,유로
대한민국에서 최근 도입된 '중대재해처벌법'의 주된 목적은?,산업현장의 안전 강화를 목표로 합니다.,산업재해 예방
유럽에서 최근 경제 위기의 주요 원인 중 하나는?,주로 러시아와 관련된 에너지 문제입니다.,에너지 위기
국제적인 환경 운동가로 유명한 청소년의 이름은?,스웨덴 출신의 환경 운동가입니다.,그레타 툰베리
2023년에 노벨 평화상을 수상한 단체는?,핵무기 비확산과 관련된 단체입니다.,ICAN
대한민국의 '디지털 뉴딜' 정책의 주요 목표는?,디지털 인프라와 관련된 경제 정책입니다.,디지털 전환
전 세계에서 가장 큰 석유 생산 국가는?,중동의 왕국입니다.,사우디아라비아
최근 미국과 중국 간의 기술 패권 경쟁에서 중요한 기술은?,반도체와 관련된 기술입니다.,반도체
EU의 탈탄소 정책의 일환으로 시행되는 탄소세의 이름은?,탄소 배출에 대한 세금입니다.,탄소 국경세
세계 최대의 전자상거래 회사로 알려진 미국 기업은?,제프 베이조스가 창립한 기업입니다.,아마존
대한민국에서 2024년에 시행된 주요 지방 선거는?,전국의 지방자치단체장을 뽑는 선거입니다.,지방선거
중국의 전자 상거래 플랫폼으로 유명한 회사는?,알리바바와 경쟁하는 기업입니다.,징둥
최근 전 세계적인 공급망 문제의 주요 원인 중 하나는?,코로나19로 인해 발생한 물류 지연입니다.,공급망 교란
