문제,힌트,답
세계에서 가장 인구가 많은 도시는?,아시아에 위치한 도시입니다.,도쿄
혈액형 중 만능 공여자는?,O형 중에서도 Rh 음성입니다.,O형
태양계에서 가장 큰 행성은?,가스 행성입니다.,목성
세계에서 가장 작은 나라는?,로마 안에 위치한 독립된 도시국가입니다.,바티칸
음식에서 비타민 C가 가장 많이 함유된 과일은?,레몬보다 높은 비타민 함유량입니다.,귤
태평양을 최초로 횡단한 탐험가는?,스페인 탐험가입니다.,페르디난드 마젤란
모나리자의 작가는?,르네상스 시대의 유명한 예술가입니다.,레오나르도 다 빈치
세계에서 가장 긴 인공 구조물은?,중국에 있습니다.,만리장성
인체에서 가장 큰 기관은?,외부에 노출된 기관입니다.,피부
지구의 자전축이 기울어진 각도는?,대략 23도입니다.,23.5도
"음악에서 '도, 레, 미'는 어떤 체계인가요?",음악의 기초 음계를 나타냅니다.,솔페지오
나폴레옹의 최후의 전투는?,1815년에 발생한 전투입니다.,워털루 전투
올림픽 성화는 처음으로 어느 나라에서 시작되었나요?,고대 올림픽의 발상지입니다.,그리스
세계에서 가장 큰 바다는?,지구 표면의 약 30%를 차지합니다.,태평양
스위스의 수도는?,베른입니다.,베른
뉴턴의 제1법칙은 무엇인가요?,관성의 법칙이라고도 합니다.,관성의 법칙
최초로 달에 착륙한 사람은?,아폴로 11호의 사령관입니다.,닐 암스트롱
화산 폭발로 인해 형성된 큰 분화구는?,호수로 변하기도 합니다.,칼데라
아프리카의 가장 긴 강은?,지구에서 가장 긴 강입니다.,나일 강
미국의 독립 기념일은 언제인가요?,7월 초입니다.,7월 4일
세계에서 가장 높은 폭포는?,베네수엘라에 위치해 있습니다.,앤젤 폭포
달의 중력은 지구 중력의 몇 배인가요?,지구 중력보다 훨씬 약합니다.,1/6배
세계에서 가장 추운 대륙은?,남극에 위치해 있습니다.,남극
빛이 공기 중에서 물 속으로 들어갈 때 속도는 어떻게 되나요?,더 느려집니다.,감소합니다
한국의 전통 가옥을 무엇이라고 부르나요?,온돌과 마루로 구성됩니다.,한옥
물의 화학 공식은?,두 가지 원소로 이루어져 있습니다.,H2O
하늘에서 내려오는 얼음 결정체를 무엇이라고 하나요?,겨울에 많이 볼 수 있습니다.,눈
로마 제국의 수도는?,이탈리아에 위치해 있습니다.,로마
한글을 창제한 왕은?,조선의 네 번째 왕입니다.,세종대왕
세계에서 가장 큰 호수는?,러시아에 위치해 있습니다.,카스피해
미국의 수도는?,뉴욕이 아닙니다.,워싱턴 D.C.
노벨 평화상을 수여하는 나라는?,북유럽에 위치한 나라입니다.,노르웨이
흑백 페가수스는 어떤 신화에 나오는 동물인가요?,그리스 신화에서 등장합니다.,페가수스
전세계적으로 가장 많이 사용되는 언어는?,중국에서 사용됩니다.,중국어
백악관은 어느 도시에 위치해 있나요?,미국의 수도입니다.,워싱턴 D.C.
모스부호를 발명한 사람은?,이름에서 모스 부호가 유래했습니다.,사무엘 모스
모든 삼각형의 내각의 합은?,180도입니다.,180도
지구의 중심에 있는 층은 무엇인가요?,금속이 녹아 있는 층입니다.,핵
세계에서 가장 깊은 대양은?,마리아나 해구가 위치해 있습니다.,태평양
햇빛이 지구에 도달하는 데 걸리는 시간은?,대략 8분입니다.,약 8분 20초
중력의 법칙을 발견한 사람은?,사과가 떨어지는 것을 보고 영감을 받았습니다.,아이작 뉴턴
세계에서 가장 큰 섬은?,덴마크의 자치령입니다.,그린란드
대기 중에서 가장 많이 차지하는 기체는?,약 78%입니다.,질소
일년 중 낮이 가장 긴 날을 무엇이라고 부르나요?,6월에 해당합니다.,하지
지구의 온실 효과를 일으키는 주요 기체는?,주로 자동차와 공장에서 배출됩니다.,이산화탄소
일본의 전통 드레스는 무엇인가요?,기모노입니다.,기모노
해양의 염도는 대략 몇 퍼센트인가요?,약 3.5%입니다.,3.5%
야구에서 홈런을 친 후 득점할 수 있는 베이스의 개수는?,모두 돌면 점수를 얻습니다.,4개
세계에서 가장 인구가 적은 나라는?,바티칸입니다.,바티칸
수학에서 원주율을 나타내는 기호는?,π로 표시됩니다.,파이
